Эдвард Хоппер	"Полуночники", 1942. Художник.
Лейф Эрикссон Счастливый	скандинавский мореплаватель, который первый посетил Северную Америку за пять столетий до Христофора Колумба. Три слова, включая прозвище.
Винланд	название территории Северной Америки, данное исландским викингом Лейфом Эрикссоном примерно в 1000 году.
Винланд	Эта территория получила своё название то ли из-за вина, то ли из-за пастбищ
Ньюфаундленд	Одна из версий того, где находился Винланд -- этот остров
Асгард	в скандинавской мифологии небесный город, обитель богов-асов.
Биврёст	радужный мост, соединяющий Асгард (обитель богов-асов) и Мидгард (мир, населенный людьми) (скандинавская мифология)
Мидгард	В германо-скандинавской мифологии — это мир, населенный людьми.
Сумерки богов	"Рагнарёк" -- это буквально ОНИ (вспомним Вагнера!)
Рагнарёк	в германо-скандинавской мифологии — гибель богов и всего мира, следующая за последней битвой между богами и хтоническими чудовищами.
Фенрир	этот волк в Рагнарёк убьёт Одина и (по некоторым версиям) проглотит Солнце.
Глейпнир	в германо-скандинавской мифологии, а именно в «Младшей Эдде», волшебная цепь, которой асы сковали волка-чудовище Фенрира.
Глейпнир	эта цепь порвётся в день Рагнарёка
Тюр	в германо-скандинавской мифологии, однорукий бог чести и войны. Из асов, сын Одина и великанши, сестры Гимира. Потерял руку, когда приковывали Фенрира.
Эжен Ионеско	пьеса "Носорог", автор
Носорог	В одноимённой пьесе Эжена Ионеско жители города по очереди превратились в НИХ. Считается, что это аллюзия на распространение фашизма в Европе и, в частности, в Румынии. В единственном числе.
Альбрехт Дюрер	Этот художник написал знаменитую гравюру "Носорог", где носорог написан по зарисовкам и рассказам очевидцев.
носорог	Это животное ассоциируется с Альбрехтом Дюрером, а также с тем, когда что-то рисуют по описаниям, не видя это вживую.
Цирк	В этом советском фильме 1936 малыша-негритёнка играл Джеймс Ллойдович Паттерсон
Корделия	младшая дочь Короля Лира. Не стала клясться в любви к отцу, хотя, в отличие от старших дочерей, она действительно любила его. Будучи изгнанной из Англии, стала женой французского короля.
Король Лир	Отец делит наследство между тремя дочерьми, но изгоняет младшую, которая не клянётся ему в любви. И в итоге делит государство между двумя дочерьми. Из какого произведения этот сюжет?
Король Лир	в начале пьесы ОН удаляется от дел и делит свое имущество (королевство) между дочерьми.
Валькирия	в скандинавской мифологии — дочь славного воина, или конунга, которая реет на крылатом коне над полем битвы и решает, кому из воинов, павших в бою, попасть в небесный чертог — Вальхаллу
Хью Хефнер	американский издатель, основатель и шеф-редактор журнала «Playboy»
Мимир	в германо-скандинавской мифологии великан, охраняющий источник мудрости.
Мимир	Один пожертвовал правым глазом, чтобы оживить ЕГО голову, которую отнёс в подземную пещеру у корней мирового дерева Иггдрасиль. Там он мог советоваться с умной головой и пить воду, которая наделяла временной мудростью.
Фригг	в германо-скандинавской мифологии жена Одина, верховная богиня. Родоначальница рода асов. Покровительствует любви, браку, домашнему очагу, деторождению. Является провидицей, которой известна судьба любого человека, но которая не делится этими знаниями ни с кем.
Идунн	в скандинавской мифологии богиня-хранительница чудесных молодильных яблок. Богиня вечной юности.
Ясень	Иггдрасиль -- это ЭТО дерево (не тис).
Атропа	старшая из трёх мойр — богинь судьбы (греческая мифология). Она перерезает нить жизни, которую прядут её сёстры. Неумолимая, неотвратимая участь (смерть).
норны	в германо-скандинавской мифологии три женщины, волшебницы, наделенные чудесным даром определять судьбы мира, людей и даже богов.
норны	У греков -- мойры, у римлян -- парки. А у скандинавов?
Тор	в скандинавской мифологии один из асов, бог грома и бури, защищающий богов и людей от великанов и чудовищ
Мьёльнир	в германо-скандинавской мифологии молот бога Тора.
Локи	Это бог хитрости и обмана был прикован к скале аки Прометей
Линия Зигфрида	Система немецких долговременных укреплений, возведённых в 1936—1940 годах на западе Германии, в приграничной полосе от Клеве до Базеля — немецкая линия обороны на суше.
Бальдр	в германо-скандинавской мифологии один из асов, бог весны и света. Сын Одина и Фригг. Убит стрелой из омелы
омела	Именно из этого растения сделал стрелу Локи и убил ей Бальдра.
омела	под ЕЁ веткой принято целоваться на Рождество
омела	ОНА паразитирует на очень многих древесных растениях: тополях, клёнах, соснах, ивах, берёзах, лжеакациях и на разнообразных плодовых деревьях. Поселяется на верхушке дерева или на его ветвях и разрастается зелёным, в большинстве случаев густым кустом.
Сон разума рождает чудовищ	офорт Франсиско Гойи из цикла «Капричос», озаглавленный испанской пословицей. 1797 год.
чудовища	сон разума рождает ИХ
сон разума	ОН рождает чудовищ
Посмотри в глаза чудовищ	фантастический роман А. Г. Лазарчука и М. Г. Успенского 1997 года в жанре криптоистории. 
В книге собраны воедино практически все популярные конспирологические теории XX века.
Основан на спасении Николая Гумилёва от расстрела.
Тетраграмматон	в иудейской религиозной и каббалистической традициях — четырёхбуквенное непроизносимое имя Бога, считающееся собственным именем Бога, в отличие от других титулов Бога.
братья Ивальди	Эти карлики выковали Одину копьё Гунгнир, а также волосы для Сиф
Сиф	ОНА получила золотые волосы после того, как оригинальные волосы отстриг Локи назло Тору.
Фрейя	использует колесницу, запряженную двумя котами
Три короны	национальный геральдический символ Швеции, который присутствует на государственном гербе Швеции. Также так называют всяческие спортивные сборные Швеции.
Швеция	"Три короны" -- какая страна должна щёлкать
Эрифманский вепрь	огромный кабан, живший на горе и опустошавший окрестности города Псофиды в Аркадии на горе Лампея. Его поимка стала 4-м или 5-м подвигом Геракла
Эврисфей	Этот царь заказал Гераклу поймать Эрифманского вепря.
Хирон	кентавр, сын Кроноса и Филиры, изначально наделённый бессмертием. Когда был ранен Гераклом стрелой с ядом ленрейской гидры, взмолился о смерти, и Зевс сжалился над ним.
Хирон	Этот мудрый кентавр учил многих героев. Должен щёлкать на учителя-кентавра.
Тим Талер	Он продал смех за способность выиграть любое пари или спор.
Тим Талер, или проданный смех	сказочно-философская повесть немецкого писателя Джеймса Крюса. В повести ощущается влияние легенды о докторе Фаусте, продавшем свою душу дьяволу, а также повести Шамиссо «Удивительная история Петера Шлемиля».
Кентавр Несс	Его убил Геракл, а потом сам убит в шкуре, отравленной его ядом. Двумя словами.
Несс	Кентавр, кровью которого Деянира отравила Геракла.
Деянира	Жена Геракла, которая убила его из ревности, послав ему Хитон, пропитанный кровью убитого кентавра Несса (тот наплёл ей, что это приворотное зелье).
Прага	Легендарный голем был создан раввином именно в этом городе.
Тетраграмматон	Пражский голем ожил, когда ему в рот вложили это.
Макгаффин	распространённый в западной нарратологии термин для обозначения предмета, вокруг обладания которым строится фабульная сторона произведения (как правило, приключенческого жанра). Это своего рода механическая формула для конструирования сюжета: завязка построена на поисках того или иного предмета, суть которого, сама по себе, не играет роли.
Макгаффин	Мальтийский сокол -- типичный пример ЕГО. Розовый бутон гражданина Кейна -- тоже ОН.
Лев бен Бецалель	Этот раввин оживил Голема.
Над вечным покоем	Знаменитый пейзаж Исаака Левитана (окончен в 1894). Название из трёх слов.
Франциск Ассизский	Этот святой, по преданию, умел разговаривать с животными (особенно с птицами). Да и орден нищенствующий основал.
Птицы	Святой Франциск читал проповеди именно им.
Францисканцы	нищенствующий орден
Вельзевул	имя главы демонов в Новом завете. Его имя переводится как "Повелитель мух".
Повелитель мух	Имя Вельзевул означает это.
Святой Франциск	небесным противником Вельзевула является имено он (двумя словами)
Фёдор Кузьмич	По легенде, этим старцем-скитальцем был на самом деле Александр I, инсценироваший свою смерть.
стигматы	болезненные кровоточащие раны, открывающиеся на теле отдельных католических подвижников — под влиянием религиозной экзальтации — на тех участках тела, на которых предположительно располагались раны Христа, полученные им при распятии на кресте.
стигматы	Раны Христа от распятия, 5 штук (на ладонях, запястьях и животе).
Гвидо д'Ареццо	ОН считается изобретателем современного обозначения нот (хотя обозначения длительностей ввёл не он)
ноты	Гвидо д'Ареццо принял большое участие в системе обозначения ИХ
Филиппины	Съёмки фильма "Апокалипсис сегодня" не поддержали власти Вьетнама, и в джунгли снимались на НИХ.
Апокалипсис сегодня	Этот фильм Фрэнсиса Форда Копполы снимался на Филиппинах.
Филиппины	Независимость этой страны от Испании, в составе которой Филиппины находились в течение 1521—1898 годов, была провозглашена 12 июня 1898 года, после чего, в соответствии с Парижским мирным договором 1898 года, страна стала частью США, полную независимость от которых получила 4 июля 1946 года.
Назовите эту страну.
Адонис	Этого возлюбленного Афодиты (Венеры) убил вепрь. По некоторым версиям, в образе кабана был Арес (Марс).
Гай Юлий Цезарь	По одной из легенд, ОН появился на свет в результате кесарева сечения. Однако эта легенда неверна, так как в те времена кесарево сечение делали только мёртвым женщинам, а его мать прожила ещё много лет.
анемона	Этот цветок вырос то ли из крови Адониса, то ли из слёз оплакивающей его Афродиты.
Уильям Мак-Кинли	Этот президент был убит анархистом в 1901 году.
Аляска	Пик Мак-Кинли находится в этом штате США.
Денали	28 августа 2015 года пику Мак-Кинли возвращено это исконное название.
Большая гора	В начале XIX века пик Мак Кинли назывался так и был высочайшей точкой Российской империи.
Леон Франк Чолгош	Этот анархист в 1901 году на выставке в Баффало выстрелил в президента Уильяма МакКинли, от чего тот через несколько дней умер.
магшот	Фотографический портрет преступника, который делается после ареста.
Альфонс Бертильон	французский юрист, изобретатель системы идентификации преступников по их антропометрическим данным.
Альфонс Бертильон	Тюремные магшоты в фас и в профиль должны ассоциироваться с этим французом.
дактилоскопия	На смену бертильонажу пришла ОНА, а сам Альфонс Бертильон долго ей противился и не верил в неё.
Критон, мы должны Асклепию петуха!	Последние слова Сократа. В ответе 5 слов.
Асклепий	в древнегреческой и древнеримской мифологиях бог медицины. Умел не только лечить, но и воскрешать людей.
гамадриады	в древнегреческой мифологии разновидность нимф деревьев. Это те дриады, которые умирали вместе с деревом.
Гефест	в греческой мифологии бог огня, самый искусный кузнец, покровитель кузнечного ремесла, изобретений, строитель всех зданий на Олимпе, изготовитель молний Зевса.
Гефест	Когда ОН появился на свет, он оказался больным и хилым ребёнком, к тому же хромым на обе ноги. Гера, увидев своего сына, отказалась от него и скинула с высокого Олимпа.
Эгида	мифическая накидка из козьей шкуры, принадлежавшая Зевсу и обладавшая волшебными защитными свойствами. Может также называться "щитом".
Эгида	ОНА изготовлена из шкуры козы Амальтеи
Рог изобилия	В древнегреческой мифологии ОН является принадлежностью козы Амальтеи или обратившегося в быка Ахелоя
Эгида	Щит Зевса
Гефест	Прометей украл огонь у НЕГО.
Гефест	ОН по приказу Зевса приковал Прометея к скале
Гефест	Хромой бог или вообще кто-то хромой. Кто должен щёлкать?
Сова Афины	ОНА служит символом знания, мудрости, проницательности и эрудиции во всём западном мире. Двумя словами.
Минерва	Полное имя Минни Маус.
Минерва	древнеримская богиня мудрости и войны, покровительница ремесленников, писателей, актёров, поэтов, художников, учителей, учащихся и врачей.
Паллада и Кентавр	Картина Сантро Боттичелли, 1483. Минерва и человекоконь.
Омфала	Геракл был в рабстве у НЕЁ и был вынужден заниматься женскими делами (например, прясть).
Вагенбург	передвижное полевое укрепление из повозок в XV—XVIII веках. По-немецки.
Гуляй-город	По-немецки -- "вагенбург". А по исконно-русски?
амброзия	в Древней Греции — легендарная пища богов, дающая им молодость и бессмертие.
Эдип	Его имя означает "имеющий вспухшие ноги".
Лай	Отец Эдипа, которого он убил.
Панкрац	Исторический район в Праге, в котором располагалась одноимённая тюрьма. Там сидел и Юлиус Фучик (хотя казнён он был в Плётцензее).
Паливец	Этот трактирщик был арестован и посажен в тюрьму за то, что рассказал, что портрет Франца-Иосифа I он снял, потому что его загадили мухи.
Колумбово яйцо	крылатое выражение, обозначающее неожиданно простой выход из затруднительного положения.
Колумб	ОН поставил яйцо вертикально и тем самым привёл простое решение казавшейся сложной задачи.
Семь пулек, как в Сараеве	За эту фразу, произнесённую за игрой в карты, арестовали одного из сокамерников Швейка. Фраза при побитии козырной бубновой 7-кой трефового короля.
Сараево	В этом городе убили Франца Фердинанда
Ческе-Будейовице	Компания из этого чешского города претендует на торговую марку Budweiser.
Ческе-Будейовице	Именно этот город искал Швейк, совершая своя анабасис.
Неделько Чабринович	Он кинул гранату в машину Франца Фердинанда, но безуспешно. Уже после него покушение довёл до успеха Гаврило Принцип.
морганатический брак	мезальянс между лицами неравного положения, при котором супруг (или супруга) более низкого положения не получает в результате этого брака такое же высокое социальное положение.
эрцгерцог	Титул Франца Фердинанда на момент его убийства в Сараево.
Чезаре Ломброзо	итальянский психиатр, преподаватель, родоначальник антропологического направления в криминологии и уголовном праве, основной мыслью которого стала идея о прирождённом преступнике.
Чезаре Ломброзо	"о преступных наклонностях человека можно догадаться по его внешнему виду.". Кто должен щёлкать?
Чезаре Ломброзо	Антропологические типы преступников. Предрасположенность к преступлениям по внешности, форме черепа итд. Кто должен щёлкать?
Бонни Паркер и Клайд Бэрроу	ОНИ были убиты техасскими рейнджерами в 1934 году. Те изрешетили их машину пулями.
Бонни Паркер и Клайд Бэрроу	ОНИ известны ограблениями в период с 1932 по 1934 год в Америке. Убегали на автомобиле Ford в другие штаты, пользуясь разными юрисдикциями.
Зеленый Антон	У нас -- "черный воронок" (полицейская машина). А у чехов?
Лазарь Лагин	Фамилия-псевдоним этого писателя составлены из первых слогов его имени и настоящей фамилии Гинзбург.
Лазарь	Его имя буквально означает "Бог мне помог".
Лазарь	Этого жителя Вифании воскресил Иисус через четыре дня после его смерти.
Лазарь из Вифании	Воскрешение, две могилы, Иисус. Кто должен щёлкать? В ответе три слова.
Орден Святого Лазаря	этот военный и госпитальерский орден был назван в честь святого, больного проказой. Из притчи Иисуса об этом святом и богаче.
Лазарь	Прокажённый, святой, нищий. Кто должен щёлкать?
Орден Святого Лазаря	ОН был основан крестоносцами в Палестине в 1098 году на базе больницы для прокажённых.
забытые болезни	группа инфекционных и паразитарных тропических заболеваний, поражающих преимущественно беднейшие и маргинализированные слои населения в наиболее отсталых регионах Азии, Африки и Латинской Америки. Например, лепра (проказа).
Идиот	Войдя и увидев портрет императора, Швейк восклинкул "Да здравствует император Франц-Иосиф Первый". В результате врачебная комиссия признала Швейка ИМ (в именительном падеже).
Битва при Филиппах	решающее сражение гражданской войны 44—42 гг. до н. э. возле древнего македонского города Филиппы между войсками цезарианцев (второго триумвирата) во главе с Марком Антонием и Октавианом Цезарем и войсками республиканцев Марка Юния Брута и Гая Кассия Лонгина, в которой победу одержали триумвиры.
Битва при Филиппах	В НЕЙ Марк Юний Брут и Гай Кассий Лонгин проиграли и покончили с собой.
Гай Кассий Лонгин	Помимо Марка Юния Брута, широко известен также этот убйца Цезаря.
Непрядва	Эта поэма Евгения Евтушенко написана к 600-летию Куликовской битвы, в 1980 году. А вообще так река в Тульской области называется.
Мэри Сью	архетип персонажа, которого автор наделил гипертрофированными, нереалистичными достоинствами, способностями и везением.
31.01.2020	В этот день Британия покинула ЕС.
Брексит	31.01.2020 наконец произошёл формальный ОН.
Николай Некрасов	"Поэтом можешь ты не быть, но гражданином быть обязан" -- это из ЕГО произведения "Поэт и гражданин" 1856 года.
Поэтом можешь ты не быть, но гражданином быть обязан.	Легендарная фраза из произведения Николая Некрасова 1856 года.
Агамемнон	ОН погиб от руки своей жены Клитемнестры и ее любовника Эгисфа
Агамемнон	У НЕГО была жена Клитемнестра и приёмная (?) дочь Елена Прекрасная
Агамемнон	Этот микенский царь собрал огромное (греческое) войско на Трою и победил её в войне.
Клитемнестра	дочь Леды и Тиндарея, супруга Агамемнона. По возвращении Агамемнона из троянской войны убила его и его любовницу Кассандру.
Агамемнон	Знаменитую ЕГО маску нашёл Генрих Шлиман.
Ифигения	Дочь Агамемнона и Клитемнестры, которую должны были принести в жертву Артемиде. Но Артемида сжалилась, и её заменили ланью (по другой версии, козой), а саму её Артемида перенесла в Тавриду.
Юрий Пименов	"Новая Москва", 1937. Художник.
Новая Москва	Изветная картина Юрия Пименова, 1937 год. На переднем плане девушка за рулём автомобиля, спиной к зрителю.
Амелия Мэри Эрхарт	американская писательница и пионер авиации. Став первой женщиной-пилотом, перелетевшей Атлантический океан, была награждена за это Крестом Лётных Заслуг (англ. Distinguished Flying Cross).
Амелия Мэри Эрхарт	Эта женщина-пилот без вести пропала в своём кругосветном перелёте в 1937 году, при попытке найти остров Хауленд в Тихом океане.
камелии	Эти цветы известны отсутствием запаха.
Травиата	Эта опера Верди написана по мотивам романа Александра Дюма-сына "Дама с камелиями".
Дама с камелиями	Роман Дюма-сына про куртизанку, больную туберкулёзом, и влюблённого в неё Армана Дюваля.
Дама с камелиями	Эвфемизм для "куртизанки", вошедший в обиход после выхода романа Дюма-сына.
Мадам Бовари - это я!	Известная фраза Гюстава Флобера о своём романе.
Гюстав Флобер	"Госпожа Бовари", 1856 (публикация как книгой в 1857), писатель.
Госпожа Бовари	Героиня не любит мужа и заводит много любовников, в итоге влезает в долги и отравляется мышьяком. Муж всё равно её любит. Назовите роман.
Маркс, Энгельс, Ленин, Сталин	Советское имя Мэлс расшифровывается именно так.
Новояз	вымышленный язык из романа-антиутопии Джорджа Оруэлла «1984». В романе ИМ называется язык тоталитарного общества, изуродованного партийной идеологией и партийно-бюрократическими лексическими оборотами, в котором слова теряют свой изначальный смысл и означают нечто противоположное (например, «Война — это мир»).
новояз	«единственный на свете язык, чей словарь с каждым годом сокращается»
гипотеза лингвистической относительности	Гипотеза Сепира — Уорфа также называется так.
Гипотеза Сепира - Уорфа	ОНА предполагает, что структура языка влияет на мировосприятие и воззрения его носителей, а также на их когнитивные процессы.
Океания	вымышленный военно-политический конфедеративный блок в романе Джорджа Оруэлла «1984». Там живут главные герои романа Уинстон и Джулия и разворачиваются его события.
Двоемыслие	Роман "1984": это способность искренне верить в две взаимоисключающие вещи, либо менять своё мнение на противоположное при идеологической необходимости. 
Примеры: Война -- это мир. Незнание -- сила, Свобода -- это рабство.
мыслепреступление	Роман "1984": самое тяжкое из возможных преступлений в Океании, каралось смертью. Под это понятие попадает любая неосторожная мысль члена ангсоца, любой неосторожный жест или слово.
Порт-оф-Спейн	столица Республики Тринидад и Тобаго. Город основан в XVI веке испанскими конкистадорами на месте индейского поселения Конкерабия и до конца XVIII века сохранял его название. После перехода города в 1797 году во владение Великобритании он получил английское название.
Порт-о-Пренс	Столица и главный внешнеторговый порт Гаити. В 1706 году в бухту на западе острова Гаити прибыл флагман французской эскадры корабль, в честь которого бухту, а затем и город, назвали.
Этьен Фальконе	Медный всадник (памятник Петру I), скульптор
Триумф воли	Знаменитый фильм Лени Лифеншталь о съезде НСДАП в 1934 году в Нюрнберге.
Олимпия	Документальный фильм Лени Рифеншталь о XI летних Олимпийских играх, прошедших в Берлине в июле — августе 1936 года.
Лени Рифеншталь	"Триумф воли", 1935, режиссёр.
Испанская фаланга	ультраправая политическая партия. Основана в 1933 году Хосе Антонио Примо де Риверой, при авторитарном режиме Франциско Франко — правящая и единственная законная партия в стране (1936—1975).
Мустафа Кемаль Ататюрк	ОН ввёл в Турции латинский алфавит вместо арабского языка.
Мустафа Кемаль Ататюрк	"отец турок"
Ататюрк	Эту фамилию запрещено носить в Турции с тех самых пор, когда её носитель ввёл фамилии в Турции.
цирроз печени	От этого умер в 1938 Мустафа Кемаль Ататюрк
Таня Савичева	Девочка, которая вела дневники в блокадном Ленинграде. Там рассказывалось, как умирали члены её семьи.
Савичевы умерли. Умерли все. Осталась одна Таня.	Этими 3 фразами заканчивается дневник Тани Савичевой.
мормоны	У этих ребят из штата Юта вплоть до конца 19 века было в ходу многожёнство
Юта	мормоны должны щёлкать на этот штат США
Солт-Лейк-Сити	мормоны должны щёлкать на этот город (столица штата Юта)
Светлана Аллилуева	Эта дочь Сталина в 1957 сменила фамилию (после развенчания культа личности).
Светлана Аллилуева	Под именем Лана Питерс известна она.
Надежда Аллилуева	Жена Сталина. Покончила с собой в ночь с 8 на 9 ноября 1932 года, выстрелив себе в сердце из пистолета.
хот-дог	Это кушанье сначала называлось Dachshunde (такса).
такса	Изначальное название хот-дога происходило от названия этого животного (так назывались сосиски, привезённые из Германии).
Глеб Котельников	Изобретатель парашюта в его современном виде. Изобретение 1910-1911, патент 1912.
Теодор Рузвельт	Лауреат Нобелевской премии мира за 1906 год.
Анна Элеонора Рузвельт	Эта уроженка Нью-Йорка была племянницей дальнего родственника своего мужа (оба этих мужчины широко известны), поэтому ей не пришлось менять фамилию при выходе замуж.
питчер	В бейсболе это игрок, который бросает мяч с питчерской горки к дому, где его ловит кетчер и пытается отбить бьющий.
кэтчер	ИМ называют игрока обороняющейся команды, который находится за домом и спиной бэттера, но перед судьёй, и принимает мяч, поданный питчером.
кэтчер	ОН в бейсболе имеет номер 2.
питчер	ОН в бейсболе имеет номер 1.
Рене Декарт	Cogito ergo sum -- это ЕГО философское утверждение.
дегенеративное искусство	термин нацистской пропаганды для обозначения авангардного искусства, которое представлялось не только модернистским, антиклассическим, но и еврейско-большевистским, антигерманским, а потому опасным для нации и для всей арийской расы.
Третья улица Строителей	Именно на ней стоял дом в "Иронии судьбы"
Баухаус	Нацисты уже в 1920-х годах выступали против ЭТОЙ ШКОЛЫ, считая её рассадником культурбольшевизма, теперь же стали проводить здесь регулярные обыски и требовать увольнения ряда преподавателей. Это стало причиной для окончательного закрытия школы в 1933 году.
Тель-Авив	Самую большую концентрацию строений архитектуры Баухаус можно увидеть в центре этого города.
Музей плохого искусства	американский частный музей, заявленная цель которого — «отмечать труды художников, чьи работы не были оценены ни в одном другом музее».
вилка	Этот прибор в средние века считался дьявольским: то ли рога напоминает, то ли трезубец Сатаны.
Пантеон	архитектурно-исторический памятник, образец французского классицизма в Латинском квартале 5-го округа Парижа, Франция. Первоначально церковь св. Женевьевы, позже — усыпальница выдающихся людей Франции.
тонзура	У католического духовенства: выбритое место на макушке.
Пантеон	У этого храма в центре купола есть отверстие (окулюс).
окулюс	В центре купола римского Пантеона находится круглое отверстие диаметром ок. 8 метров. Как оно называется?
Пантеон	по гречески "храм всем богам".
пантеон	группа богов, принадлежащих к одной религии или мифологии.
Платоново тело	правильный многогранник, состоящий из одинаковых правильных многоугольников и обладающий пространственной симметрией.
Платоновы тела	Тетраэдр, гексаэдр, октаэдр, додекаэдр, икосаэдр -- это всё ОНИ.
Маятник Фуко	Первая публичная демонстрация ЕГО была осуществлена уже в марте 1851 года в парижском Пантеоне.
Умберто Эко	«Маятник Фуко», 1988 год, автор романа.
Манфред фон Рихтгофен	германский лётчик-истребитель, ставший лучшим асом Первой мировой войны с 80 сбитыми самолётами противника. "Красный барон".
1912	"Титаник" затонул в этом году.
Человек, который был четвергом	философский роман Г. К. Честертона, изданный в 1908 году с подзаголовком «Ночной кошмар»
Человек, который был четвергом	Герои этого романа 1908 года носили прозвища по названиям дней недели.
Барон Суббота	Праздник Дня мёртвых на Гаити — это прежде всего праздник ЕГО.
