Эжен Ионеско	Автор пьесы "Стулья" (1952).
Антонио Пизанелло	ЭТОТ итальянский художник также был весьма известен как медальер.
Скрипач на крыше	бронзовая скульптура скрипача в Харькове, по замыслу авторов, посвящённая творческому потенциалу города.
Харьков	Скульптура "Скрипач на крыше" установлена в ЭТОМ городе.
Tango Durlast	официальный мяч Чемпионата мира по футболу 1978 в Аргентине, разработанный компанией Adidas специально для этого чемпионата.
Воробушек	ЭТО прозвище Эдит Пиаф дано из-за малого роста.
Эдит Пиаф	У НЕЁ было прозвище "Воробушек" из-за малого роста.
Тирренское море	Остров Капри находится в НЁМ.
Марина Цветаева	ОНА известна использованием знака тире.
софтбол	спортивная командная игра с мячом, разновидность бейсбола. Мяч напоминает по размерам грейпфрут и имеет более низкую скорость в полёте.
бейсбол	софтбол является менее требовательной разновидностью ЕГО.
Джо Ди Маджо	ОН был трёхкратным обладателем награды «Самый полезный игрок» и 13 раз принимал участие в матчах всех звёзд (единственный бейсболист, игравший в матчах всех звёзд в каждом сезоне, в котором он участвовал). За свою карьеру он выполнил 361 хоум-ран (5-й результат в истории).
Принцесса Пич Тоудстул	В классической игре про братьев Марио спасали ЕЁ.
Принцесса Дэйзи	ОНА стала подружкой не Марио, а Луиджи.
Шартрёз	французский ликёр, изготавливаемый монахами картезианского ордена в винных погребах Вуарона в Изере, на границе горного массива в Предальпах.
Эсперанто	слово "надеяться" в вопросах обычно намекает на НЕГО.
Пепелац	ЕГО название происходит от грузинского слова со значением "бабочка".
Небесные врата	В 20-х числах марта 1997 года люди из ЭТОЙ секты совершили массовое самоубийство.
Маршалл Херфф Эпплуайт	Лидер деструктивной секты "Небесные врата".
Комета Хейла — Боппа	сектанты из "Небесных врат" покончили собой, ожидая встречи с НЕЙ.
Комета Хейла-Боппа	долгопериодическая комета, ставшая, возможно, самой «наблюдаемой» кометой XX века, и одной из ярчайших за несколько последних десятилетий. Была видима невооружённым глазом рекордный срок — 18 месяцев, в два раза больше предыдущего рекорда, установленного Большой кометой 1811 года.
Афины и Элевсин	"Священная дорога" в Аттике проходила между ЭТИМИ двумя городами.
Священная дорога	Между Афинами и Элевсином проходила ОНА.
кидали в неё яблоко	В Древней Греции предложение руки и сердца девушке делали ТАК.
Томас А. Андерсон	Нео из "Матрицы" полностью зовут ТАК.
Аркенстон	в книге «Хоббит» легендарный камень, обнаруженный гномами в глубинах Эребора. Самая большая ценность сокровищницы Эребора, называемый также «Сердцем Горы» и «Государевым камнем». Являет собой огранённый круглый кристалл (похожий по описанию на бриллиант) размером с голову ребёнка, излучающий неясное сияние.
once in a blue moon	Это английское выражение значит "очень редко", "почти никогда".
Авлос	древнегреческий духовой музыкальный инструмент, предположительно с двумя видами тростей: одинарной или двойной. Конструктивно напоминает современный гобой.
Арион	ЭТОГО древнегреческого поэта по легенде спас дельфин после того, как его выбросил за борт.
Дельфин	поэта Ариона по легенде спас ОН.
Тетис	древний океан, существовавший в эпоху мезозоя между древними континентами Гондвана и Лавразия. Реликтами этого океана являются современные Средиземное, Чёрное и Каспийское моря
Гондвана	древний суперконтинент в южном полушарии, включавший Африку, Южную Америку, Антарктиду, Австралию, Новую Зеландию, а также Аравию, Мадагаскар и Индостан. Образовалась в конце докембрия (750—530 млн л.н.) в результате раскола суперконтинента Родиния, затем являлась частью Паннотии (600—540 млн лет назад) и Пангеи (335—175 млн лет назад).
Лавразия	древний континент, северный из двух континентов (южный — Гондвана), на которые распался протоконтинент Пангея в мезозое. Позже, от 135 до 200 миллионов лет назад, распалась на Евразию и Северную Америку.
48	СТОЛЬКО церемониальных графств в Англии.
Джон Изнер — Николя Маю	Самый продолжительный теннисный матч был сыгран в Уимблдоне в 2010 году между НИМИ.
Пик Балмера	уровень спирта в крови, при которой достигается самая высокая производительность.
Багдадская батарейка	месопотамский артефакт парфянского или сасанидского периодов, который вслед за его первооткрывателем — немецким археологом Вильгельмом Кёнигом, директором Национального музея Ирака, — иногда интерпретируется как гальванический элемент, созданный в древности — за 2000 лет до рождения Алессандро Вольта.
Селевкийская ваза	Багдадская батарейка по-другому называется ТАК.
Война в Ираке	Багдадская батарейка была похищена из Национального музея во время НЕЁ.
Вильгельм Кёниг	Первоткрыватель "багдадской батарейки".
челночная дипломатия	то же, что посредничество; в международном праве — одно из средств мирного разрешения споров между государствами путём серии переговоров с участием третьего государства (посредника) и на основе выдвинутых им условий.
Генри Киссинджер	В начале 1974 года ОН начал первый раунд того, что потом получило название «челночной дипломатии» между Иерусалимом и столицами арабских стран.
220 и 284	Дружественные числа были открыты последователями Пифагора; правда, им удалось найти только ЭТУ пару дружественных чисел
Дружественные числа	два различных натуральных числа, для которых сумма всех собственных делителей первого числа равна второму числу и наоборот, сумма всех собственных делителей второго числа равна первому числу.
Дипломатия канонерок	Суть ЕЁ состоит в демонстрации силы для достижения своих внешнеполитических целей. ОНА получила своё наименование от названия небольшого корабля с серьёзным артиллерийским вооружением. Примером данной политики является применение Соединёнными Штатами Америки кораблей в Китае в начале XX века, а также в Латинской Америке.
Закон Стиглера об эпонимии	В простейшей формулировке ОН гласит: «Ни одно научное открытие не было названо в честь его первооткрывателя». Четырьмя словами.
Кааба	ЕЁ обходят против часовой стрелки.
Booby trap	Мина-ловушка или вообще подобная ловушка по-английски.
огласовка	добавление в текст дополнительных знаков, указывающих гласные звуки и прочие нюансы произношения (например, удвоение согласных)
Матрис лекционис	в консонантном письме — согласные буквы, используемые для обозначения долгих гласных звуков.
Консонантное письмо	тип фонетического письма, передающий только или преимущественно согласные звуки.
иврит	В ЕГО алфавите 22 буквы, все они соответствуют согласным звукам.
22	СТОЛЬКО букв в Иврите.
Гистерон протерон	риторическая фигура, состоящая в том, что часть предложения, которая в естественной постройке фразы и по временной связи должна следовать позже, выдвигается вперед, чтобы показать, что для говорящего она имеет первенствующее значение. Напр. (у Вергилия): умрем, бросимся в середину врагов.
Вопль / Вой	поэма одного из самых известных американских поэтов второй половины XX века Аллена Гинзберга, считающаяся самым известным произведением бит-поколения (наравне с романами «В дороге» Д. Керуака и «Голым завтраком» У. Берроуза). Оба варианта названия.
Аллен Гинзберг	ОН написал битнический роман Howl (Вопль / Вой).
Волшебная гора	Несмотря на постоянную близость смерти, размеренная жизнь идёт своим чередом в застывшей атмосфере «прекрасной эпохи»: пациенты до хрипоты спорят друг с другом об отвлечённых понятиях, женщины и мужчины находят время для флирта и даже спиритических сеансов. 

Назовите роман.
кампус	Скажите по-латински «поле, открытое пространство».
таламус	Скажите по-гречески "комната, камера, отсек".
Кольца Гельмгольца	две соосно расположенные одинаковые радиальные катушки, расстояние между центрами которых равно их среднему радиусу. В центре системы имеется зона однородного магнитного поля. Используются для получения постоянного, переменного или импульсного магнитного поля с зоной однородности, которое обычно используется в экспериментах, а также для калибровки датчиков магнитной индукции, намагничивания и размагничивания постоянных магнитов, размагничивания стальных заготовок, деталей и инструментов. 

Назовите рифмующимися словами.
Домашние лисицы	ОНИ были выведены в ходе продолжительного эксперимента в Новосибирском институте цитологии и генетики. Проект начат в 1959 Дмитрием Беляевым.
Дмитрий Беляев	1959 по 1985 год — директор Института цитологии и генетики Сибирского отделения АН СССР. Он наиболее известен своим экспериментом по выведению одомашненных лис.
Новосибирск	Одомашненных лисы выводили в ЭТОМ городе.
Тортеллини	итальянские пельмени из пресного теста с мясом, сыром или овощами.
Похождения повесы	опера Игоря Стравинского в духе неоклассицизма. Либретто Уистена Одена и Честера Коллмена, основанное на сюжетах цикла из восьми картин и гравюр XVIII века под английского художника Уильяма Хогарта.
Уильям Хогарт	Этот английский живописец известен в том числе циклом "Похождения повесы" из 8 сцен.
A Rake's Progress	"Похождения повесы" Хогарта по-английски называются ТАК.
Модный брак	цикл из шести картин Уильяма Хогарта, созданный в 1743—1745 годах. В этом цикле Хогарт высмеивает высшее общество.
Игорь Стравинский	ОН написал оперу "Похождения повесы" по серии картин Уильяма Хогарта.
S-образная линия	эстетическое понятие теории гармонии и композиции в изобразительном искусстве, волнообразная, изгибающаяся кривая линия, которая придаёт изображению особенное изящество.
Figura serpentinata	спорный термин, вызывающий дискуссии о корректности его применения к изобразительному искусству разных стран и эпох. В самом общем значении под «змеевидной фигурой» подразумевают скульптурное или живописное изображение фигуры человека в сильном спиралевидном движении тела, в частности, в античной скульптуре. Однако этот итальянский термин появился на исходе эпохи Возрождения в кризисный период маньеризма. Поэтому по мнению большинства специалистов его следует применять только в этом контексте.
Том Китинг	ОН прославился тем, что подделал более 2000 картин сотни художников от Рембранта до Модильяни так, что эксперты аукционных домов "Сотби" и "Кристи" признавали их подлинными.
Procol Harum	A Whiter Shade of Pale — песня ЭТОЙ группы.
Air on the G String	Музыка песни "A Whiter Shade of Pale" основана на ЭТОМ классическом произведении.
Битва при Литл-Бигхорне	сражение между индейским союзом лакота—северные шайенны и Седьмым кавалерийским полком армии США, произошедшее 25—26 июня 1876 года у реки в Монтане. Битва закончилась уничтожением пяти рот американского полка и гибелью его знаменитого командира Джорджа Кастера.
25-26 июня 1876	Битва при Литл-Бигхорне состоялась в ЭТУ дату.
Джордж Армстронг Кастер	американский кавалерийский офицер, прославившийся безрассудной храбростью, необдуманностью действий и безразличием к потерям. Погиб в битве при Литл-Бигхорне.
Civilization V	ЭТА игра известна тем, что технологические открытия в ней сопровождаются классическими цитатами.
Причинно-следственная петля	временной парадокс, в котором повторяющаяся последовательность событий являются взаимной причиной друг друга. Длинный вариант названия.
Йоги Берра	американский бейсболист, игрок Главной лиги бейсбола, игравший на позициях кетчера и аутфилдера, впоследствии тренер и спортивный менеджер. На протяжении почти всей своей 19-летней профессиональной спортивной карьеры играл за клуб «Нью-Йорк Янкиз».

Является одним из четырёх игроков в истории, получивших титул самого ценного игрока Американской лиги трижды, и был одним из семи тренеров, возглавлявших команды как Американской, так и Национальной лиги. В 1972 году он был избран в Национальный зал славы бейсбола. Считается одним из величайших игроков в истории бейсбола.
Лурд	ЭТОТ маленький французский город известен чудесными исцелениями, поэтому является одним из главных в Европе центров паломничества.
Лурд	По мнению Католической церкви в 1858 году, 11 февраля, в четверг, четырнадцатилетней местной жительнице ЭТОГО ГОРОДА Бернадетте Субиру явилась Дева Мария. Произошло это в одной из пещер, Масабьель, каких множество в горных отрогах, окружающих город.
Бернадетта Субиру	католическая святая, известна благодаря тому, что по её уверениям, ей являлась Дева Мария. Явления были признаны Католической церковью подлинными и превратили Лурд в место массового паломничества.
Фатима	Маленький город в Португалии. Один из центров христианского паломничества благодаря явлению Девы Марии в 1917 году.
Три тайны Фатимы	ОНИ состоят из серии апокалиптических видений и пророчеств, которые предположительно были даны трём маленьким португальским пастушкам (точнее, двум пастýшкам и одному пастушку), Лусии Сантуш и её двоюродным сестре и брату Жасинте Марту и Франсишку Марту, начиная с 13 мая 1917 года.
Три тайны Фатимы	Согласно различным католическим толкованиям, ОНИ связаны с адом, Первой и Второй мировыми войнами и гонениями на христиан в 20 веке.
Лурд и Фатима	Дева Мария якобы являлась в ЭТИХ двух европейских городах.
Глазами клоуна	роман 1963 года немецкого писателя, лауреата Нобелевской премии по литературе 1972 года Генриха Бёлля. От лица циркача.
Генрих Бёлль	Лауреат НП по литературе 1972 года7
Генрих Бёлль	"Глазами клоуна" — кто автор романа?
Путник, когда ты придёшь в Спа...	рассказ Генриха Теодора Бёлля. Сюжет представляет собой внутренний монолог солдата Второй мировой войны, которого, раненного, несут на носилках через коридоры его прежней школы, которую он покинул за три месяца до описываемых событий.
литература руин	рассказ «Путник, когда ты придёшь в Спа...» считается одним из лучших рассказов Генриха Бёлля и одним из самых известных примеров так называемой ЕЁ.
Спарта, Спа	В рассказе Генриха Бёлля ПЕРВАЯ на школьной доске была сокращена до ВТОРОГО.
Генрих Бёлль	«Путник, когда ты придёшь в Спа...» — кто автор рассказа?
Больше не помещалось на доске	По ЭТОЙ причине в рассказе Бёлля путник шёл в Спа, а не в Спарту.
печенье Мадлен	Наиболее распространённая версия происхождения ЭТОГО связана с именем титулярного короля Польши и последнего герцога Лотарингии в 1737—1766 годы — Станислава Лещинского (1677—1766). В 1755 году Лещинский давал торжественный обед в своём замке в Коммерси (Лотарингия), но перед приёмом ему сообщили, что между интендантом и поваром произошла ссора, в результате которой повар уволился и ушёл, не приготовив десерта. Служанка предложила приготовить десерт по рецепту своей бабушки. Результат превзошёл все ожидания, и новое блюдо назвали по её имени.
Отто Лилиенталь	немецкий инженер, один из пионеров авиации, объяснивший причины парения птиц. Создал науку о планеризме. Сам строил планеры и совершил на них более 2 тыс. полётов. Погиб в 1896 году, пилотируя планёр собственной конструкции и не справившись с управлением.
наука о планеризме	Отто Лилиенталь создал ЕЁ. Тремя словами.
Отто Лилиенталь	Когда вопросы кто-то строил возвышенности или пользовался природными возвышенностями, часто это намёк на НЕГО.
Стэнфордский	Зефирный эксперимент тоже ТАКОЙ.
Уолтер Мишель	Зефирный эксперимент был проведён под ЕГО руководством.
Отложенное удовольствие	психологический феномен, обозначающий специальный тип выбора, при которой человек отказывается от немедленного вознаграждения, а наоборот предпочитает получить удовольствие потом, в будущем.
Лаокоонт	ЭТОТ прорицатель во время Троянской войны убеждал защитников Трои не вводить троянского коня в город.
Песня о блохе	песня с фортепианным сопровождением, написанная русским композитором Модестом Мусоргским в 1879 году на слова из русского перевода «Фауста» Иоганна Вольфганга фон Гёте.
Модест Мусоргский	"Песня о блохе" — кто композитор?
Фауст	"Песня о блохе" написана на слова из русского перевода ЭТОГО произведения.
Фосбери-флоп	техника прыжка в высоту, разработанная и впервые представленная американским прыгуном в высоту, которая позволила ему в 1968 году выиграть золотую медаль на Летних Олимпийских играх в Мексике, установив новый олимпийский рекорд (2,24 метра). На сегодня эта техника используется подавляющим большинством прыгунов в высоту.
надел никаб	традиционный женский головной убор, закрывающий лицо, с узкой прорезью для глаз. Как правило, изготавливается из ткани чёрного цвета.
Фантастические твари и где они обитают	британо-американский фэнтезийный фильм режиссёра Дэвида Йейтса по сценарию Джоан Роулинг. Приквел серии фильмов о Гарри Поттере, повествующий о событиях, произошедших за 65 лет до начала основной саги. 2016 год.
Фантастические твари: Тайны Дамблдора	Британо-американский фэнтезийный фильм режиссёра Дэвида Йейтса по сценарию Джоан Роулинг и Стива Кловиса. Один из приквелов-спин-оффов серии фильмов о Гарри Поттере. 2022 год.
Badoo	По состоянию на 2022 год Tinder является вторым по популярности в Европе приложением для поиска отношений, уступая лишь ЭТОМУ приложению.
MatchBox	Прототип приложения Tinder назывался ТАК.
Маниту	Термин, аналогичный «душе», «духу» или «силе», в ряде близких фонетических вариантов принятый в традиционных анимистических воззрениях индейцев большинства алгонкинских народов. ИМ наделены каждое растение, камень и даже механизмы.
Фастекс	полуавтоматическая застёжка для соединения тканевых лент, строп, ремней. Одна из частей выглядит как трезубец.
1869	Периодический закон был открыт Дмитрием Менделеевым в ЭТОМ году.
Бэкпэкинг	распространённый в последние десятилетия термин, обозначающий путешествия, совершаемые туристом за небольшие деньги, чаще всего принципиально отказываясь от услуг туроператоров.
Жулик, не воруй	известная фраза из мультфильма Даша-следопыт. Произносится вскоре после появления невнятного животного, готового украсть ценные вещи, например рюкзак или карту. Однако разоблачение на него работает очень хорошо и он просто отступает — до следующей серии.
Minutemen	вольное ополчение североамериканских колонистов. Появилось в XVII веке для борьбы с индейцами, преступниками и солдатами других колониальных держав, а позже и с английскими королевскими войсками. Получили романтический образ благодаря активному участию в Семилетней войне и Войне за независимость США.
Минитмены содружества	В компьютерной игре компании Bethesda Fallout 4, где действие разворачивается в Массачусетсе, одна из фракций носит ТАКОЕ имя.
Fallout 4	"Минитмены содружества" появляются в ЭТОЙ игре.
прыжок в высоту	Фосбери-флоп — это техника ЕГО.
Дик Фосбери	американский прыгун в высоту, чемпион летних Олимпийских игр 1968 года. Изобретатель современного способа прыжка в высоту.
flop	ЭТО английское слово можно перевести как "плюхнуться, шлёпнуться, сесть в лужу".
Мехико	Летняя олимпиада 1968 года прошла в ЭТОМ городе.
1968	XIX летние Олимпийские игры проводились в Мехико проходили в ЭТОМ году.
Проклятие девятой симфонии	суеверие, состоящее в том, что, начиная с Бетховена, всякий композитор, написавший определенное произведение, умирает вскоре после этого.
Дельфин	первая российская подводная лодка из официально зачисленных в списки кораблей Российского флота.
Turochamp	шахматная программа, разработанная Аланом Тьюрингом и Дэвидом Чемперноуном в 1948 году в рамках исследования по информатике и машинному обучению.
Птичка Тари	Советский мультфильм про птицу, которая почистила зубы крокодилу.
крокодилы	Якобы существуют птицы, которые чистят зубы ИМ.
живые зубочистки	прозвище "мифических" птиц, которые якобы помогают крокодилам.
Мононим	полные имена, состоящие из одного слова (вместо, например, традиционных русских полных имен из фамилии, имени и отчества), а также люди, называемые такими именами.
мононим	"Мадонна" вместо "Мадонна Луиза Чиконе" — это пример ЕГО.
бра-конусы	Мадонна известна в том числе и ЭТИМ предметом одежды.
Мадонна	Образ с бра-конусами использовала, в том числе, ОНА.
Сражение при Акциуме	Решающее ОНО между флотами Марка Антония и Октавиана Августа завершило период гражданских войн в Риме.
Октавиан Август	В сражении при Акциуме победил ОН.
Марк Антоний и Клеопатра	В сражении при Акциуме проиграли ПЕРВЫЙ и ВТОРАЯ.
Октавиан Август	Римская республика стала Римской империей при НЁМ.
Роберт Корнелиус	Он является автором первого селфи (первого автофотопортрета).
автофотопортрет	Роберт Корнелиус стал автором первого в истории ЕГО. Назовите ЕГО словом, происходящим от трёх корней.
Дороти Кэтрин Дрейпер	Первая в мире женщина, изображённая на отчётливом портретном фотоснимке.
подавление недоверия	понятие, введённое в 1817 г. поэтом и философом эстетики Сэмюэлом Кольриджем, который предположил, что если писатель привносит в выдуманную историю «человеческий интерес и подобие истины», то читатель воздержится от критических суждений относительно неправдоподобности событий и примет условность повествования.
Сэмюэл Тейлор Кольридж	Понятие "появление недоверия" ввёл ОН.
Фианкеттирование	фланговое развитие шахматного слона в дебюте.
Битва при Гавгамелах	решающее сражение между армиями Александра Македонского и персидского царя Дария III, после которого империя Ахеменидов прекратила своё существование.
Двойной орел	золотая монета США номиналом в 20 долларов, которая чеканилась с 1849 по 1933 годы.
Двойной орел 1933 года	ЭТИ монеты считаются самыми дорогими в мире.
Мэри Энн Вебстер	английская женщина, страдавшая акромегалией и известная как «самая уродливая женщина в мире».
ступа	Первые ОНИ появились в Индии ещё в добуддийские времена и изначально выполняли функцию памятников на могилах правителей. Само санскритское слово ОНА означает «узел из волос» или «макушка, верхняя часть головы», а также «куча камней и земли». Традиция кремировать тела после смерти привела к тому, что захоронений в обычном понимании не было, было возможным лишь сохранить пепел или несгоревшие останки. В НИХ помещалось то, что осталось после кремации. Так, постепенно, они превратились в реликварии, содержащие в себе останки выдающихся в духовном плане личностей.
1964	Нобелевская премия по физике за изобретение лазеров была присуждена в ЭТОМ году.
Чарлз Хард Таунс, Николай Басов, Александр Прохоров	ЭТИ трое в 1964 получили НП по физике за создание лазеров. Премия разделилась как 1/4, 1/2, 1/2.
Святая Вероника	В католической традиции ОНА является женщиной, которая, согласно средневековому преданию, отерла своим платом лицо Иисуса Христа во время Крестного пути на Голгофу.
Вероника	В православии под ЭТИМ именем почитается женщина, которая, согласно Евангелию, исцелилась, прикоснувшись к одеждам Иисуса Христа
Плат Вероники	в христианстве нерукотворное изображение Иисуса Христа, которое, по преданию, появилось на платке, который святая подала Иисусу Христу, когда Он нёс свой крест на Голгофу. Двумя словами на разные буквы.
Вуаль Вероники	"Плат Вероники" может также называться ЭТИМИ двумя словами на одну букву.
Акеропита (ахиропита)	предметы, которые «не сделаны человеческой рукой». В христианстве используется для обозначения икон, сакральных изображений, которые принято считать имеющими божественное происхождение. Эти изображения уже не являются творением художника и считаются реликвиями.
451 по Фаренгейту	Известная цитата Хуана Рамона Хименеса "Если тебе дали линованную бумагу, пиши поперек" является эпиграфом к ЭТОМУ роману.
Sci-Hub	интернет-ресурс, предоставляющий доступ к десяткам миллионов научных статей и аналогичных публикаций. Первый известный веб-сайт, предоставляющий автоматический и бесплатный доступ к полным текстам научных работ для всех желающих. Автор — Александра Элбакян.
Александра Элбакян	Создательница научного сайта Sci-Hub.
Пластрон	брюшной (плоский) щит панциря черепах.
Карапакс	у черепах — спинной щит панциря.
Здесь был Килрой	Чаще всего ЭТО связывают с деятельностью инспектора бостонской верфи, который якобы ставил на проверенных им корпусных деталях кораблей такую надпись, причём после сборки надпись зачастую оказывалась в таких местах, куда был невозможен доступ человека, например, в герметично заваренных межотсечных пространствах.
Бледный огонь	Антироман В. В. Набокова, написанный на английском языке и впервые опубликованный в 1962 году. Название произведения взято из Шекспира «Тимон Афинский»: «Луна — это наглый вор, И свой ... она крадёт у солнца».
Solus Rex	незаконченный роман Владимира Набокова, написанные главы которого были впервые опубликованы в 1940—1942 годах.
Ultima Thule	"Solus Rex" — вторая глава романа Набокова, а как называется первая?
земблянский	Искусственный язык, сконструированный Владимиром Набоковым в романе "Pale Fire".
Ложная слепота	научно-фантастический роман канадского писателя-фантаста Питера Уоттса, впервые опубликованный издательством Tor Books в 2006 году. Номинировался на премии «Хьюго», «Локус» и премию Джона В. Кэмпбелла. Роман, действие которого происходит в будущем, описывает появление на окраине Солнечной системы инопланетного космического корабля и попытку земной экспедиции вступить с ним в первый контакт. Исследует темы личности, сознания, свободы воли, искусственного интеллекта, теории игр, нейробиологии и эволюции человека.
Питер Уоттс	"Ложная слепота" — кто автор романа?
Эхопраксия	научно-фантастический роман канадского писателя-фантаста Питера Уоттса, впервые опубликованный издательством Tor Books в 2014 году. Действие происходит в том же мире, что и действие более раннего романа Уоттса «Ложная слепота», и сюжеты двух произведений связаны. Если «Ложная слепота» описывает первый контакт на окраине Солнечной системы, то ОНА посвящена происходящему на Земле и другой экспедиции, направляющейся к Солнцу.
